id;Full_Name;Project_id;Nomination;Prize;Login;Password
1;Автоном Димитриевич Гуляев;7851;Меняющие реальность;2874000;ДГАвтоном;mrts(lc)8?
2;Ольга Матвеевна Журавлева;2578;Проект будущего;2910000;МЖОльга;rbqry8nb0d
3;Спартак Ефстафьевич Ильин;5981;Проект будущего;2373000;ЕИСпартак;isxrq6cefg
4;Антонина Александровна Архипова;2706;Двигатель прогресса;676000;АААнтонина;b16e2qr12r
5;Никандр Яковлевич Соловьев;9961;Меняющие реальность;1452000;ЯСНикандр;ndm9gveblr
6;Святослав Тихонович Казаков;8349;Двигатель прогресса;935000;ТКСвятослав;irnn0qbdw9
7;Дементий Филатович Потапов;8009;Меняющие реальность;2701000;ФПДементий;as6hdvnero
8;Фёкла Тарасовна Филиппова;2726;Лидеры инноваций;2905000;ТФФёкла;utjvw(cydx
9;Андрей Федотович Гришин;2088;Молодой новатор;2382000;ФГАндрей;6ksu6offdu
10;Творимир Юльевич Федоров;5981;Проект будущего;2693000;ЮФТворимир;037iw?alxv
11;Акулина Ефимовна Суханова;3760;Двигатель прогресса;980000;ЕСАкулина;ugzkzhbi?2
12;Богдан Давидович Прохоров;8080;Молодой новатор;1900000;ДПБогдан;!((a67qbw?
13;Гордей Артемьевич Щербаков;1728;Лидеры инноваций;1369000;АЩГордей;3xww2d!kva
14;Анна Александровна Владимирова;3554;Меняющие реальность;2723000;АВАнна;lbgjsn4qsu
15;Глеб Гурьевич Селезнев;7702;Меняющие реальность;1801000;ГСГлеб;.r2yw42qz4
16;Спартак Владиленович Моисеев;6986;Двигатель прогресса;NULL;ВМСпартак;t0zuram.uw
17;Август Давыдович Крюков;7318;Молодой новатор;380000;ДКАвгуст;!bo71iqqo9
18;Автоном Афанасьевич Моисеев;5121;Двигатель прогресса;2636000;АМАвтоном;mqoc)(dvfq
19;Карл Адамович Кузнецов;2414;Молодой новатор;NULL;АККарл;(agdykl)3k
20;Лука Трифонович Сафонов;3973;Двигатель прогресса;1801000;ТСЛука;bgkji0fgnv
